callsign,velocity,baro_altitude,geo_altitude
RYR1152 ,239.52,6911.34,7277.1
BAW343E ,239.51,10972.8,11445.24
AAL194  ,239.5,11887.2,12245.34
EJU48YF ,239.44,10972.8,11475.72
AAL629  ,239.44,10988.04,11635.74
UAE34E  ,239.41,10972.8,11711.94
NKS2016 ,239.37,11269.98,11963.4
AAL2887 ,239.37,8328.66,8823.96
RYR2HY  ,239.37,11277.6,11742.42
NKS2401 ,239.37,10370.82,11033.76
JIA5330 ,239.36,10843.26,11506.2
QTR8249 ,239.36,11582.4,12016.74
CES5009 ,239.34,11582.4,11673.84
DAL2538 ,239.31,10972.8,11650.98
AEA1683 ,239.31,9265.92,9677.4
ANA569  ,239.3,8915.4,9555.48
SWA2262 ,239.29,11582.4,12268.2
CCA174  ,239.29,10363.2,10439.4
AAL2799 ,239.27,10668.0,11323.32
UTN4226 ,239.27,10972.8,11765.28
DAL915  ,239.27,11285.22,11940.54
RYR192F ,239.27,11894.82,12550.14
TOM9LM  ,239.24,10363.2,10713.72
AAL2261 ,239.23,10363.2,10995.66
RYR44RG ,239.23,11582.4,12016.74
EJU47XH ,239.22,10668.0,11132.82
ELJ404  ,239.22,9380.22,9761.22
UPS9783 ,239.22,7879.08,8351.52
ZSMIB   ,239.22,10972.8,11788.14
ELY2522 ,239.2,11277.6,11635.74
RYR1093 ,239.19,11582.4,11910.06
UAL2319 ,239.19,10972.8,11658.6
QTR294  ,239.19,8366.76,8702.04
MSC3564 ,239.19,11277.6,11719.56
QFA555  ,239.19,8145.78,8252.46
NKS3995 ,239.17,10965.18,11658.6
AFR1085 ,239.16,10370.82,10888.98
FDX134  ,239.16,10355.58,10942.32
SIA606  ,239.15,12496.8,13266.42
FIN6PZ  ,239.11,12496.8,12816.84
LGL836  ,239.11,10363.2,10690.86
THY9ZB  ,239.09,10972.8,11430.0
N327RX  ,239.07,12192.0,12923.52
ANA76   ,239.05,9037.32,9608.82
OOVMF   ,239.02,9144.0,9585.96
QTR20B  ,239.02,10660.38,11506.2
JBU1368 ,239.02,10668.0,11338.56
AEA83DV ,239.01,12489.18,12870.18
