icao24,callsign,velocity,baro_altitude,geo_altitude,vertical_rate
8015a7,AIC131  ,156.34,3147.06,3154.68,5.85
ade63e,N995LP  ,178.12,7978.14,8473.44,5.85
478090,WIF7G   ,107.23,3276.6,3230.88,5.85
adaeed,DAL1405 ,243.83,8442.96,8991.6,5.85
ab9387,DAL2    ,251.6,9685.02,10050.78,5.85
a67f81,DAL859  ,220.76,9890.76,10431.78,5.85
502d96,DLH2VU  ,214.39,8709.66,9037.32,5.85
4bb210,THY7VG  ,261.65,9022.08,9486.9,5.85
a32734,Unknown,46.75,76.2,53.34,5.85
86ddf0,ANA447  ,232.55,12016.74,12809.22,5.85
c06156,WJA737  ,193.41,6789.42,7139.94,5.53
a3ad47,DAL1389 ,224.05,7780.02,8237.22,5.53
e48d61,PSVOO   ,76.8,1089.66,1143.0,5.53
3c6757,DLH92J  ,256.3,9776.46,10271.76,5.53
3d2568,DEMKM   ,43.54,510.54,579.12,5.53
a57331,N450MB  ,236.38,13693.14,14348.46,5.53
73956b,HEZ631  ,187.56,6926.58,7406.64,5.53
486800,KLM1232 ,221.01,10873.74,11239.5,5.53
88084f,AIQ5420 ,217.85,8069.58,8572.5,5.53
a22ac6,RPA5742 ,203.67,7955.28,8420.1,5.53
8411a4,JAL524  ,144.65,2446.02,2529.84,5.53
780c6a,Unknown,164.76,3657.6,3497.58,5.53
781347,CCA941  ,186.76,6766.56,7078.98,5.53
ad5dcf,N960T   ,118.11,8648.7,9166.86,5.53
71bf40,AAR755  ,235.49,10614.66,11330.94,5.53
47a310,WIF7VK  ,98.92,1584.96,1653.54,5.53
780bfb,CCA1443 ,189.08,4991.1,5204.46,5.53
78929a,CRK284  ,214.23,9677.4,10347.96,5.53
06a30b,QTR8944 ,93.83,632.46,502.92,5.53
402917,GGFIG   ,27.82,137.16,228.6,5.53
86d8cc,SJO426  ,232.86,10149.84,10873.74,5.53
504e72,FIA511  ,210.38,10454.64,10782.3,5.53
4cc50f,ICE430  ,227.86,10523.22,10934.7,5.53
a620b7,UAL433  ,206.03,6522.72,6888.48,5.53
750403,MXD678  ,199.53,6377.94,6736.08,5.53
881427,AIQ231  ,250.93,9364.98,9753.6,5.53
7c045f,JST450  ,230.61,9105.9,9151.62,5.53
8964fd,ETD79   ,249.39,8343.9,8900.16,5.53
4b194b,SWR569T ,245.98,9906.0,10393.68,5.53
76bcc5,TGW893  ,250.43,11597.64,12306.3,5.53
3c64a8,DLH5XV  ,218.33,10553.7,11064.24,5.53
a2e5de,N286SJ  ,213.88,8206.74,8717.28,5.53
4b181a,SWR8XA  ,175.64,4251.96,4480.56,5.53
ab5365,DAL263  ,251.78,10226.04,10584.18,5.53
3c664d,DLH52N  ,251.07,9281.16,9715.5,5.53
8a0290,GIA213  ,217.52,8252.46,8793.48,5.53
4bb863,PGT55XN ,188.39,3444.24,3604.26,5.53
4cadce,EIWEE   ,55.05,601.98,678.18,5.53
399543,TLJ101J ,219.77,7338.06,7688.58,5.53
3c7a54,CFG2090 ,212.23,6164.58,6461.76,5.53
495303,TAP257N ,195.89,6598.92,7040.88,5.53
4520aa,CFG6PF  ,230.58,6195.06,6522.72,5.53
a12fa1,N176BS  ,105.03,7322.82,7772.4,5.53
